artist_id,name,genre
1,Addison Rae,pop
2,Tate McRae,pop
3,Charli xcx,"hyperpop,art pop"
4,Sam Austins,rap
5,The Weeknd,r&b
6,Ravyn Lenae,alternative r&b
7,The Marias,bedroom pop
8,SZA,r&b
9,Frank Ocean,r&b
10,Don Toliver,hip hop
11,Sade,r&b
12,Justin Bieber,pop
13,Blood Orange,art pop
14,Tory Lanez,r&b
15,Bad Bunny,"reggaeton,trap latino,latin,urbano latino"
16,Green Day,"punk,pop punk"
17,JENNIE,k-pop
18,PARTYNEXTDOOR,r&b
19,Lady Gaga,"art pop,pop"
20,FKA twigs,"art pop,alternative r&b"
21,ROSE,k-pop
22,Tyla,afrobeats
23,Tobii,"thai hip hop,t-pop,thai pop"
24,ZAYN,pop
25,Flo Rida,hip hop
26,keshi,r&b
27,NewJeans,k-pop
28,The Weeknd,r&b
29,Anna of the North,pop
30,Jordan Adetunji,sexy drill
31,Taylor Swift,pop
32,Imogen Heap,electronic
33,SZA,r&b
34,Muni Long,r&b
35,Jhene Aiko,r&b
36,Adam Port,"afro house,house,melodic house"
37,Doja Cat,hip hop
38,Feid,"reggaeton,urbano latino"
39,Clairo,bedroom pop
40,Kendrick Lamar,"hip hop,west coast hip hop"
41,Iyaz,pop
42,Sabrina Carpenter,pop
43,Bruno Mars,pop
44,One Direction,pop
45,IVE,"k-pop,edm,dance"
46,Bad Bunny,"reggaeton,trap latino,latin,urbano latino"
47,Ariana Grande,pop
48,Lil Tecca,"melodic rap,rap"
49,J Balvin,"reggaeton,latin"
50,Playboi Carti,rage rap
51,bixby,hyperpop
52,JustNaz,hip hop
53,Tom Frane,phonk
54,Travis Scott,"rap,hip hop"