song_id,title,genre,release_date,artist_id,artist_name,popularity
1,Diet Pepsi,,2024-08-09,1,Addison Rae,85
2,Sports car,,2025-02-21,2,Tate McRae,86
3,360,"hyperpop,art pop",2024-06-07,3,Charli xcx,82
4,Seasons,,2024-05-21,4,Sam Austins,76
5,Timeless (feat Playboi Carti),rage rap,2025-01-31,5,"The Weeknd,Playboi Carti",91
6,Love Me Not,alternative r&b,2024-08-09,6,Ravyn Lenae,76
7,No One Noticed,bedroom pop,2024-05-31,7,The Marias,89
8,Ghost in the Machine (feat. Phoebe Bridgers),r&b,2022-12-09,8,"SZA,Phoebe Bridgers",73
9,Ivy,,2016-08-20,9,Frank Ocean,84
10,No Pole,,2023-02-28,10,Don Toliver,88
11,Like a Tattoo,,1992-10-26,11,Sade,79
12,Confident - Single Version,,2013-01-01,12,"Justin Bieber,Chance the Rapper",54
13,Charcoal Baby,art pop,2018-08-24,13,Blood Orange,67
14,The Color Violet,,2021-12-10,14,Tory Lanez,85
15,WELTiTA,"reggaeton,trap latino,latin,urbano latino",2025-01-05,15,"Bad Bunny,Chuwi",90
16,Last Night on Earth,"punk,pop punk",2009-05-15,16,Green Day,75
17,squabble up,"hip hop,west coast hip hop",2024-11-22,40,Kendrick Lamar,91
18,like JENNIE,k-pop,2025-03-07,17,JENNIE,90
19,Dreamin,r&b,2015-03-08,18,PARTYNEXTDOOR,83
20,Die With A Smile,"art pop,pop",2025-03-07,19,"Lady Gaga,Bruno Mars",84
21,Childlike Things,"art pop,alternative r&b",2025-01-24,20,"FKA twigs,North West",70
22,gameboy,k-pop,2024-12-06,21,ROSE,75
23,PUSH 2 START,afrobeats,2024-10-11,22,Tyla,86
24,Bad Girls Like You,"thai hip hop,t-pop,thai pop",2024-08-29,23,Tobii,75
25,Stardust,,2024-05-17,24,ZAYN,64
26,Sugar (feat. Wynter),,2009-03-23,25,"Flo Rida,Wynter Gordon",62
27,Id,,2024-09-13,26,keshi,58
28,Right Now,k-pop,2024-06-21,27,NewJeans,70
29,It's ok I'm ok,,2025-02-21,2,Tate McRae,79
30,Cry For Me,,2025-01-31,28,The Weeknd,89
31,Lovers,,2017-09-08,29,Anna of the North,71
32,KEHLANI (REMIX) [feat. Kehlani],sexy drill,2025-01-23,30,"Jordan Adetunji,Kehlani",63
33,Chloe or Sam or Sophia or Marcus,,2024-04-19,31,Taylor Swift,71
34,Just for Now,,1905-06-27,32,Imogen Heap,70
35,BMF,r&b,2024-12-20,33,SZA,89
36,Made For Me,,2024-08-30,34,Muni Long,69
37,Blue Dream,r&b,2014-09-08,35,Jhene Aiko,67
38,Move,"afro house,house,melodic house",2024-06-07,36,"Adam Port,Stryv,Keinemusik,Orso,Malachiii",85
39,Agora Hills,,2023-09-20,37,Doja Cat,76
40,Cool About It,,2023-03-31,0,"boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",71
41,LUNA,"reggaeton,urbano latino",2023-12-01,38,"Feid,ATL Jacob",88
42,Juna,bedroom pop,2024-07-12,39,Clairo,81
43,APT.,k-pop,2024-12-06,21,"ROSE,Bruno Mars",91
44,Replay,,2009-08-18,41,Iyaz,80
45,Juno,,2024-08-23,42,Sabrina Carpenter,86
46,Steal My Girl,,2014-11-17,44,One Direction,81
47,Supernova Love,"k-pop,edm,dance",2024-11-08,45,"IVE,David Guetta",69
48,NUEVAYoL,"reggaeton,trap latino,latin,urbano latino",2025-01-05,46,Bad Bunny,94
49,bloodline,pop,2019-02-08,47,Ariana Grande,77
50,Dark Thoughts,"melodic rap,rap",2025-03-14,48,Lil Tecca,84
51,Azul,"reggaeton,latin",2020-03-19,49,J Balvin,81
52,you know,hyperpop,2025-03-07,51,bixby,60
53,Panorami,,2023-03-02,52,JustNaz,43
54,Don't Leave,phonk,2024-02-29,53,"Tom Frane,RJ Pasin",58
55,peekaboo (feat. azchike),"hip hop,west coast hip hop,hyphy",2024-11-22,40,"Kendrick Lamar,AZ Chike",88
56,DtMF,"reggaeton,trap latino,latin,urbano latino",2025-01-05,46,Bad Bunny,97
57,Piensan,"reggaeton,trap latino,urbano latino",2020-01-24,0,Myke Towers,76
58,EQUIX,"reggaeton,trap latino,urbano latino",2023-03-23,0,Myke Towers,50
59,REVERENDO,"reggaeton,trap latino,urbano latino",2025-02-06,0,Myke Towers,46
60,tv off (feat. lefty gunplay),"hip hop,west coast hip hop,mexican hip hop",2024-11-22,40,"Kendrick Lamar,Lefty Gunplay",94
61,MELTDOWN (feat. Drake),"rap,hip hop",2023-07-28,54,"Travis Scott,Drake",75